3
sumW  sumStop
0.000000E+00 9.666667E-01 0.000000E+00
1.000000E+00 9.666667E-01 -5.551115E-16
2.000000E+00 9.666667E-01 -5.551115E-16
3.000000E+00 9.666667E-01 6.661338E-16
4.000000E+00 9.666667E-01 -3.330669E-16
5.000000E+00 9.666667E-01 1.665335E-15
6.000000E+00 9.666667E-01 3.330669E-16
7.000000E+00 9.666667E-01 1.776357E-15
8.000000E+00 9.666667E-01 1.221245E-15
9.000000E+00 9.666667E-01 1.443290E-15
1.000000E+01 9.666667E-01 2.220446E-16
1.100000E+01 9.666667E-01 5.551115E-16
1.210000E+01 9.666667E-01 1.816729E-15
1.320000E+01 9.666667E-01 1.614870E-15
1.430000E+01 9.666667E-01 1.715799E-15
1.540000E+01 9.666667E-01 -5.046468E-16
1.650000E+01 9.666667E-01 2.119517E-15
1.760000E+01 9.666667E-01 1.513940E-15
1.870000E+01 9.666667E-01 4.037175E-16
1.980000E+01 9.666667E-01 1.312082E-15
2.090000E+01 9.666667E-01 7.065056E-16
2.200000E+01 9.666667E-01 1.614870E-15
2.310000E+01 9.666667E-01 2.018587E-16
2.431000E+01 9.666667E-01 1.651571E-15
2.552000E+01 9.666667E-01 1.835079E-15
2.673000E+01 9.666667E-01 1.468064E-15
2.794000E+01 9.666667E-01 9.175397E-16
2.915000E+01 9.666667E-01 1.376310E-15
3.036000E+01 9.666667E-01 1.376310E-15
3.157000E+01 9.666667E-01 8.257857E-16
3.278000E+01 9.666667E-01 9.038683E-13
3.399000E+01 9.666667E-01 8.741401E-13
3.520000E+01 9.666667E-01 8.467056E-13
3.641000E+01 9.666667E-01 8.222991E-13
3.774100E+01 9.666667E-01 1.251190E-15
3.907200E+01 9.666667E-01 1.835079E-15
4.040300E+01 9.666667E-01 2.001905E-15
4.173400E+01 9.666667E-01 1.140835E-12
4.306500E+01 9.666667E-01 1.112976E-12
4.439600E+01 9.666667E-01 1.086867E-12
4.572700E+01 9.666667E-01 1.064763E-12
4.705800E+01 9.666667E-01 1.041324E-12
4.838900E+01 9.666667E-01 1.021305E-12
4.972000E+01 9.666667E-01 1.002454E-12
5.105100E+01 9.666667E-01 9.845201E-13
5.251510E+01 9.666667E-01 1.498471E-12
5.397920E+01 9.666667E-01 1.472689E-12
5.544330E+01 9.666667E-01 1.448727E-12
5.690740E+01 9.666667E-01 1.427570E-12
5.837150E+01 9.666667E-01 1.406869E-12
5.983560E+01 9.666667E-01 1.388366E-12
6.129970E+01 9.666667E-01 1.371001E-12
6.276380E+01 9.666667E-01 1.355836E-12
6.422790E+01 9.666667E-01 1.340063E-12
6.569200E+01 9.666667E-01 1.326793E-12
6.715610E+01 9.666667E-01 1.313674E-12
6.876661E+01 9.666667E-01 2.004180E-12
7.037712E+01 9.666667E-01 1.986808E-12
7.198763E+01 9.666667E-01 1.969436E-12
7.359814E+01 9.666667E-01 1.953443E-12
7.520865E+01 9.666667E-01 1.939518E-12
7.681916E+01 9.666667E-01 1.926558E-12
7.842967E+01 9.666667E-01 1.914563E-12
8.004018E+01 9.666667E-01 1.903809E-12
8.165069E+01 9.666667E-01 1.893399E-12
8.326120E+01 9.666667E-01 1.884989E-12
8.487171E+01 9.666667E-01 1.875683E-12
8.664327E+01 9.666667E-01 2.864734E-12
8.841483E+01 9.666667E-01 2.853454E-12
9.018639E+01 9.666667E-01 2.843865E-12
9.195795E+01 9.666667E-01 2.835280E-12
9.372952E+01 9.666667E-01 2.828950E-12
9.550108E+01 9.666667E-01 2.821305E-12
9.727264E+01 9.666667E-01 2.817356E-12
9.904420E+01 9.666667E-01 2.811716E-12
1.008158E+02 9.666667E-01 2.808959E-12
1.025873E+02 9.666667E-01 2.806703E-12
1.043589E+02 9.666667E-01 2.804823E-12
1.063076E+02 9.666667E-01 4.275463E-12
1.082563E+02 9.666667E-01 4.275634E-12
1.102050E+02 9.666667E-01 4.277059E-12
1.121537E+02 9.666667E-01 4.278426E-12
1.141025E+02 9.666667E-01 4.282528E-12
1.160512E+02 9.666667E-01 4.286117E-12
1.179999E+02 9.666667E-01 4.291985E-12
1.199486E+02 9.666667E-01 4.298879E-12
1.218973E+02 9.666667E-01 4.306228E-12
1.238461E+02 9.666667E-01 4.314432E-12
1.257948E+02 9.666667E-01 4.322978E-12
1.279384E+02 9.666667E-01 2.574098E-14
1.300819E+02 9.666667E-01 2.548202E-14
1.322255E+02 9.666667E-01 2.548202E-14
1.343691E+02 9.666667E-01 2.605174E-14
1.365127E+02 9.666667E-01 6.655313E-12
1.386563E+02 9.666667E-01 6.679241E-12
1.407999E+02 9.666667E-01 6.703014E-12
1.429435E+02 9.666667E-01 6.728186E-12
1.450871E+02 9.666667E-01 6.756050E-12
1.472307E+02 9.666667E-01 6.782361E-12
1.493742E+02 9.666667E-01 6.810899E-12
1.517322E+02 9.666667E-01 4.764931E-14
1.540901E+02 9.666667E-01 4.849682E-14
1.564481E+02 9.666667E-01 4.835557E-14
1.588060E+02 9.666667E-01 4.877933E-14
1.611640E+02 9.666667E-01 4.915600E-14
1.635219E+02 9.666667E-01 5.066270E-14
1.658799E+02 9.666667E-01 5.061562E-14
1.682378E+02 9.666667E-01 5.075687E-14
1.705958E+02 9.666667E-01 5.103937E-14
1.729537E+02 9.666667E-01 1.084125E-11
1.753117E+02 9.666667E-01 1.090331E-11
1.779054E+02 9.666667E-01 9.147194E-14
1.804992E+02 9.666667E-01 9.194279E-14
1.830929E+02 9.666667E-01 9.404018E-14
1.856866E+02 9.666667E-01 9.339812E-14
1.882804E+02 9.666667E-01 9.618037E-14
1.908741E+02 9.666667E-01 9.669402E-14
1.934679E+02 9.666667E-01 9.814935E-14
1.960616E+02 9.666667E-01 9.870580E-14
1.986554E+02 9.666667E-01 1.015309E-13
2.012491E+02 9.666667E-01 1.016165E-13
2.038428E+02 9.666667E-01 1.034142E-13
2.066960E+02 9.666667E-01 1.777140E-13
2.095491E+02 9.666667E-01 1.800488E-13
2.124022E+02 9.666667E-01 1.826948E-13
2.152553E+02 9.666667E-01 1.865083E-13
2.181084E+02 9.666667E-01 1.881426E-13
2.209615E+02 9.666667E-01 1.914502E-13
