3
sumW  sumStop
0.000000E+00 1.000000E+00 0.000000E+00
1.000000E-01 1.000000E+00 1.110223E-15
2.000000E-01 1.000000E+00 -2.220446E-15
3.000000E-01 1.000000E+00 2.220446E-15
4.000000E-01 1.000000E+00 -4.440892E-15
5.000000E-01 1.000000E+00 -2.220446E-15
6.000000E-01 1.000000E+00 2.220446E-15
7.000000E-01 1.000000E+00 -2.220446E-15
8.000000E-01 1.000000E+00 1.110223E-14
9.000000E-01 1.000000E+00 -3.330669E-15
1.000000E+00 1.000000E+00 -2.220446E-15
1.100000E+00 1.000000E+00 2.220446E-15
1.210000E+00 1.000000E+00 0.000000E+00
1.320000E+00 1.000000E+00 -2.018587E-15
1.430000E+00 1.000000E+00 -5.046468E-15
1.540000E+00 1.000000E+00 4.037175E-15
1.650000E+00 1.000000E+00 4.037175E-15
1.760000E+00 1.000000E+00 -1.009294E-14
1.870000E+00 1.000000E+00 8.074349E-15
1.980000E+00 1.000000E+00 1.009294E-15
2.090000E+00 1.000000E+00 -1.009294E-15
2.200000E+00 1.000000E+00 4.037175E-15
2.310000E+00 1.000000E+00 -2.018587E-15
2.431000E+00 1.000000E+00 -2.752619E-15
2.552000E+00 1.000000E+00 0.000000E+00
2.673000E+00 1.000000E+00 2.752619E-15
2.794000E+00 1.000000E+00 -1.835079E-15
2.915000E+00 1.000000E+00 1.559817E-14
3.036000E+00 1.000000E+00 -9.175397E-15
3.157000E+00 1.000000E+00 9.175397E-16
3.278000E+00 1.000000E+00 2.752619E-15
3.399000E+00 1.000000E+00 -9.175397E-16
3.520000E+00 1.000000E+00 4.587698E-15
3.641000E+00 1.000000E+00 0.000000E+00
3.774100E+00 1.000000E+00 -3.336508E-15
3.907200E+00 1.000000E+00 -8.341270E-16
4.040300E+00 1.000000E+00 5.004762E-15
4.173400E+00 1.000000E+00 -3.336508E-15
4.306500E+00 1.000000E+00 -2.502381E-15
4.439600E+00 1.000000E+00 1.668254E-15
4.572700E+00 1.000000E+00 3.336508E-15
4.705800E+00 1.000000E+00 -8.341270E-15
4.838900E+00 1.000000E+00 2.502381E-15
4.972000E+00 1.000000E+00 1.167778E-14
