3
sumW  sumStop
0.000000E+00 9.666667E-01 0.000000E+00
1.000000E+01 9.666667E-01 1.110223E-16
2.000000E+01 9.666667E-01 1.110223E-17
3.000000E+01 9.666667E-01 0.000000E+00
4.000000E+01 9.666667E-01 7.771561E-17
5.000000E+01 9.666667E-01 6.561418E-15
6.000000E+01 9.666667E-01 4.862777E-15
7.000000E+01 9.666667E-01 3.919087E-15
8.000000E+01 9.666667E-01 3.042011E-15
9.000000E+01 9.666667E-01 2.542411E-15
1.000000E+02 9.666667E-01 2.231548E-15
1.100000E+02 9.666667E-01 1.709743E-15
1.210000E+02 9.666667E-01 2.563606E-15
1.320000E+02 9.666667E-01 1.857100E-15
1.430000E+02 9.666667E-01 1.826822E-15
1.540000E+02 9.666667E-01 1.725892E-15
1.650000E+02 9.666667E-01 1.665335E-15
1.760000E+02 9.666667E-01 1.453383E-15
1.870000E+02 9.666667E-01 1.231338E-15
1.980000E+02 9.666667E-01 1.049665E-15
2.090000E+02 9.666667E-01 1.402918E-15
2.200000E+02 9.666667E-01 9.891078E-16
2.310000E+02 9.666667E-01 9.891078E-16
2.431000E+02 9.666667E-01 1.339608E-15
2.552000E+02 9.666667E-01 1.174451E-15
2.673000E+02 9.666667E-01 1.367134E-15
2.794000E+02 9.666667E-01 1.266205E-15
2.915000E+02 9.666667E-01 1.156100E-15
3.036000E+02 9.666667E-01 1.045995E-15
3.157000E+02 9.666667E-01 1.238679E-15
3.278000E+02 9.666667E-01 1.156100E-15
3.399000E+02 9.666667E-01 8.441365E-16
3.520000E+02 9.666667E-01 1.082697E-15
3.641000E+02 9.666667E-01 8.624873E-16
3.774100E+02 9.666667E-01 1.401333E-15
3.907200E+02 9.666667E-01 1.242849E-15
4.040300E+02 9.666667E-01 1.409675E-15
4.173400E+02 9.666667E-01 1.217825E-15
4.306500E+02 9.666667E-01 1.317921E-15
4.439600E+02 9.666667E-01 1.084365E-15
4.572700E+02 9.666667E-01 1.201143E-15
4.705800E+02 9.666667E-01 1.051000E-15
4.838900E+02 9.666667E-01 1.342944E-15
4.972000E+02 9.666667E-01 1.134413E-15
5.105100E+02 9.666667E-01 1.142754E-15
5.251510E+02 9.666667E-01 1.516595E-15
5.397920E+02 9.666667E-01 1.577258E-15
5.544330E+02 9.666667E-01 1.554509E-15
5.690740E+02 9.666667E-01 1.357352E-15
5.837150E+02 9.666667E-01 1.865411E-15
